GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-ai,com.example.springai.entity,ChatMessage,3,40,0,0,1,18,1,9,1,9
spring-ai,com.example.springai.entity,Project,10,114,2,4,1,35,3,20,1,19
spring-ai,com.example.springai.entity,Query,7,64,3,3,1,18,4,11,1,11
spring-ai,com.example.springai.entity,Requirement,7,55,3,3,1,15,4,9,1,9
spring-ai,com.example.springai.entity,NFR,7,64,3,3,1,18,4,11,1,11
spring-ai,com.example.springai.entity,Risk,7,64,3,3,1,18,4,11,1,11
spring-ai,com.example.springai.entity,Story,7,64,3,3,1,18,4,11,1,11
spring-ai,com.example.springai.model,McpPromptTemplate,144,0,8,0,30,0,8,0,4,0
spring-ai,com.example.springai.model,CommandExtraction,17,0,0,0,7,0,5,0,5,0
spring-ai,com.example.springai.model,Parameters,17,0,0,0,7,0,5,0,5,0
spring-ai,com.example.springai.model,StoryAnalysisResponse,0,38,0,0,0,16,0,11,0,11
spring-ai,com.example.springai.tool,ShowProjectTool,5,128,3,11,1,23,3,7,0,3
spring-ai,com.example.springai.tool,CreateProjectTool,10,67,1,5,1,13,1,5,0,3
spring-ai,com.example.springai.tool,ListProjectsTool,0,57,0,4,0,14,0,5,0,3
spring-ai,com.example.springai.tool,HelpTool,0,108,0,2,0,22,0,4,0,3
spring-ai,com.example.springai.tool,AddRequirementTool,0,93,0,10,0,18,0,8,0,3
spring-ai,com.example.springai.tool,ProjectManagementTool,0,19,0,0,0,7,0,4,0,4
spring-ai,com.example.springai.tool,PrepareStoriesTool,337,0,22,0,63,0,15,0,4,0
spring-ai,com.example.springai.tool,ToolResult,0,27,0,0,0,8,0,5,0,5
spring-ai,com.siva.ai.tools,DateTimeTools,0,19,0,0,0,5,0,3,0,3
spring-ai,com.example.springai.tools,ProjectManagementTools,22,0,0,0,7,0,3,0,3,0
spring-ai,com.example.springai.config,WebConfig,135,0,0,0,15,0,3,0,3,0
spring-ai,com.example.springai.config,McpConfig,58,0,0,0,4,0,3,0,3,0
spring-ai,com.example.springai.config,TestDataInitializer,0,635,0,2,0,142,0,9,0,8
spring-ai,com.example.springai.config,OllamaConfig,38,0,0,0,9,0,2,0,2,0
spring-ai,com.example.springai.config,SQLiteDialectConfig,3,0,0,0,1,0,1,0,1,0
spring-ai,com.example.springai.config,OllamaConfig.new ChatClient() {...},163,0,0,0,32,0,3,0,3,0
spring-ai,com.example.springai,Application,8,0,0,0,3,0,2,0,2,0
spring-ai,com.example.springai.service,McpToolService,0,57,0,2,0,14,0,8,0,7
spring-ai,com.example.springai.service,ProjectService,0,162,0,2,0,41,0,14,0,13
spring-ai,com.example.springai.repository,ChatMessageRepository,10,0,0,0,1,0,1,0,1,0
spring-ai,com.example.springai.controller,ChatController,42,0,2,0,11,0,3,0,2,0
spring-ai,com.example.springai.controller,ProjectController,56,53,9,3,14,12,7,6,2,5
spring-ai,com.example.springai.controller,ChatHistoryController,11,0,0,0,4,0,2,0,2,0
spring-ai,com.example.springai.mcp,UserMessage,5,6,0,0,2,3,2,1,2,1
spring-ai,com.example.springai.mcp,McpToolResult,27,0,0,0,8,0,5,0,5,0
spring-ai,com.example.springai.mcp,CreateProjectTool,0,78,0,6,0,14,0,6,0,3
spring-ai,com.example.springai.mcp,HelpTool,44,64,1,1,5,17,1,3,0,3
spring-ai,com.example.springai.mcp,ListProjectsTool,0,57,0,4,0,14,0,5,0,3
spring-ai,com.example.springai.mcp,Generation,28,0,0,0,10,0,4,0,4,0
spring-ai,com.example.springai.mcp,Tool,52,0,6,0,11,0,4,0,1,0
spring-ai,com.example.springai.mcp,AssistantMessage,11,0,0,0,5,0,3,0,3,0
spring-ai,com.example.springai.mcp,AddRequirementTool,0,93,0,10,0,18,0,8,0,3
spring-ai,com.example.springai.mcp,SystemMessage,11,0,0,0,5,0,3,0,3,0
spring-ai,com.example.springai.mcp,ProjectManagementTool,0,19,0,0,0,7,0,4,0,4
spring-ai,com.example.springai.mcp,McpToolDefinition,28,0,0,0,9,0,5,0,5,0
spring-ai,com.example.springai.mcp,ToolResult,0,27,0,0,0,8,0,5,0,5
spring-ai,com.example.springai.mcp,McpClient,90,0,2,0,17,0,4,0,3,0
spring-ai,com.example.springai.mcp,PrepareStoriesTool,0,337,2,20,0,63,2,13,0,4
spring-ai,com.example.springai.mcp,Prompt,12,16,0,0,4,4,2,1,2,1
spring-ai,com.example.springai.mcp,ChatClient,2,0,0,0,1,0,1,0,1,0
spring-ai,com.example.springai.mcp,ChatResponse,20,0,0,0,7,0,4,0,4,0
spring-ai,com.example.springai.mcp,McpToolParameter.Builder,31,0,0,0,11,0,6,0,6,0
spring-ai,com.example.springai.mcp,McpToolParameter,35,0,0,0,11,0,6,0,6,0
spring-ai,com.example.springai.mcp,McpToolDefinition.Builder,30,0,0,0,9,0,5,0,5,0
spring-ai,com.example.springai.mcp,ShowProjectTool,0,127,1,13,0,23,1,9,0,3
